Position in reads	Percentage of Q20+ bases	Percentage of Q30+ bases	Percentage of Clean Q20+	Percentage of Clean Q30+
1    	97.12%	83.45%	97.12%	83.44%
2    	97.35%	82.37%	97.35%	82.36%
3    	97.35%	82.05%	97.34%	82.04%
4    	97.59%	82.03%	97.59%	82.03%
5    	97.68%	81.86%	97.68%	81.85%
6    	97.66%	81.43%	97.66%	81.43%
7    	97.71%	81.64%	97.71%	81.64%
8    	97.71%	81.12%	97.71%	81.11%
9    	97.33%	80.16%	97.33%	80.15%
10   	97.30%	79.62%	97.30%	79.62%
11   	97.27%	79.13%	97.27%	79.12%
12   	97.43%	79.49%	97.43%	79.49%
13   	96.42%	78.13%	96.42%	78.12%
14   	97.19%	78.62%	97.19%	78.62%
15   	97.24%	78.56%	97.24%	78.55%
16   	97.16%	78.30%	97.15%	78.29%
17   	97.00%	77.78%	97.00%	77.78%
18   	96.86%	77.37%	96.86%	77.37%
19   	96.88%	77.30%	96.88%	77.30%
20   	95.99%	76.12%	95.99%	76.12%
21   	96.59%	76.38%	96.59%	76.38%
22   	96.21%	75.54%	96.21%	75.55%
23   	96.12%	75.25%	96.12%	75.25%
24   	96.02%	74.94%	96.02%	74.94%
25   	95.79%	74.35%	95.79%	74.36%
26   	95.30%	73.97%	95.30%	73.97%
27   	94.99%	73.29%	94.99%	73.29%
28   	94.84%	73.02%	94.84%	73.03%
29   	94.55%	72.30%	94.55%	72.30%
30   	94.18%	71.79%	94.18%	71.79%
31   	94.17%	71.53%	94.17%	71.52%
32   	93.80%	70.91%	93.80%	70.91%
33   	93.60%	70.34%	93.60%	70.34%
34   	93.32%	69.83%	93.31%	69.83%
35   	93.27%	69.65%	93.27%	69.65%
36   	92.88%	68.98%	92.88%	68.98%
37   	92.53%	68.49%	92.53%	68.50%
38   	92.22%	67.62%	92.22%	67.62%
39   	91.92%	67.06%	91.92%	67.06%
40   	91.71%	66.67%	91.71%	66.67%
41   	91.50%	66.20%	91.50%	66.20%
42   	90.79%	65.31%	90.79%	65.31%
43   	90.37%	64.74%	90.37%	64.75%
44   	90.41%	64.21%	90.41%	64.21%
45   	90.04%	63.66%	90.04%	63.66%
46   	89.83%	63.31%	89.83%	63.31%
47   	89.44%	62.69%	89.44%	62.70%
48   	88.99%	62.05%	88.99%	62.05%
49   	88.95%	61.74%	88.95%	61.74%
50   	88.52%	60.74%	88.52%	60.74%
