Position in reads	Percentage of Q20+ bases	Percentage of Q30+ bases	Percentage of Clean Q20+	Percentage of Clean Q30+
1    	96.57%	81.29%	96.57%	81.29%
2    	96.98%	80.81%	96.98%	80.81%
3    	97.04%	80.68%	97.04%	80.68%
4    	97.27%	80.48%	97.27%	80.47%
5    	97.38%	80.27%	97.38%	80.27%
6    	97.46%	80.28%	97.46%	80.28%
7    	97.49%	80.38%	97.49%	80.39%
8    	97.50%	79.95%	97.50%	79.95%
9    	97.12%	78.90%	97.11%	78.90%
10   	97.08%	78.33%	97.08%	78.32%
11   	97.05%	77.91%	97.05%	77.90%
12   	97.22%	78.26%	97.22%	78.25%
13   	96.27%	77.02%	96.27%	77.02%
14   	96.98%	77.42%	96.98%	77.41%
15   	97.04%	77.38%	97.04%	77.38%
16   	96.97%	77.15%	96.97%	77.15%
17   	96.81%	76.67%	96.81%	76.66%
18   	96.67%	76.21%	96.67%	76.21%
19   	96.69%	76.19%	96.69%	76.19%
20   	95.84%	75.10%	95.84%	75.10%
21   	96.42%	75.38%	96.42%	75.38%
22   	96.05%	74.55%	96.05%	74.55%
23   	95.93%	74.17%	95.93%	74.17%
24   	95.84%	73.92%	95.84%	73.92%
25   	95.62%	73.39%	95.62%	73.40%
26   	95.13%	72.98%	95.13%	72.98%
27   	94.84%	72.38%	94.84%	72.38%
28   	94.68%	72.04%	94.68%	72.05%
29   	94.40%	71.43%	94.40%	71.44%
30   	94.04%	70.91%	94.04%	70.91%
31   	94.02%	70.60%	94.02%	70.60%
32   	93.64%	70.00%	93.64%	70.00%
33   	93.46%	69.53%	93.46%	69.53%
34   	93.15%	68.90%	93.15%	68.91%
35   	93.15%	68.82%	93.15%	68.83%
36   	92.70%	68.04%	92.70%	68.04%
37   	92.38%	67.58%	92.38%	67.59%
38   	92.08%	66.78%	92.08%	66.79%
39   	91.77%	66.21%	91.77%	66.22%
40   	91.55%	65.78%	91.55%	65.78%
41   	91.36%	65.37%	91.36%	65.36%
42   	90.66%	64.49%	90.66%	64.49%
43   	90.24%	63.93%	90.24%	63.94%
44   	90.26%	63.44%	90.26%	63.44%
45   	89.87%	62.80%	89.86%	62.80%
46   	89.66%	62.47%	89.66%	62.47%
47   	89.28%	61.87%	89.28%	61.87%
48   	88.85%	61.26%	88.85%	61.25%
49   	88.80%	60.99%	88.80%	60.99%
50   	88.33%	59.93%	88.32%	59.93%
