Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
1    	10.21%	32.70%	46.03%	11.05%	 0.01%	10.16%	32.72%	46.05%	11.06%	 0.01%
2    	16.67%	19.44%	31.89%	31.99%	 0.00%	16.68%	19.46%	31.84%	32.02%	 0.00%
3    	19.88%	28.34%	32.48%	19.30%	 0.00%	19.90%	28.34%	32.50%	19.26%	 0.00%
4    	28.12%	20.92%	32.83%	18.13%	 0.00%	28.14%	20.86%	32.86%	18.14%	 0.00%
5    	28.26%	20.04%	30.83%	20.87%	 0.00%	28.26%	20.05%	30.80%	20.89%	 0.00%
6    	29.93%	21.48%	27.05%	21.54%	 0.00%	29.93%	21.50%	27.02%	21.55%	 0.00%
7    	17.48%	24.12%	22.85%	35.55%	 0.00%	17.44%	24.14%	22.84%	35.58%	 0.00%
8    	20.99%	28.32%	24.76%	25.93%	 0.00%	21.00%	28.32%	24.73%	25.95%	 0.00%
9    	20.98%	26.87%	25.85%	26.29%	 0.00%	21.00%	26.89%	25.80%	26.31%	 0.00%
10   	33.73%	19.90%	25.85%	20.53%	 0.00%	33.75%	19.86%	25.84%	20.55%	 0.00%
11   	24.86%	27.32%	30.14%	17.68%	 0.00%	24.88%	27.29%	30.16%	17.67%	 0.00%
12   	21.78%	26.94%	27.43%	23.85%	 0.00%	21.75%	26.94%	27.45%	23.86%	 0.00%
13   	24.52%	24.18%	25.52%	25.78%	 0.00%	24.49%	24.20%	25.54%	25.78%	 0.00%
14   	24.64%	24.69%	26.02%	24.65%	 0.00%	24.66%	24.71%	25.99%	24.64%	 0.00%
15   	24.31%	25.45%	26.61%	23.63%	 0.00%	24.31%	25.41%	26.63%	23.64%	 0.00%
16   	24.42%	25.24%	27.08%	23.26%	 0.00%	24.44%	25.25%	27.03%	23.28%	 0.00%
17   	24.63%	25.47%	27.08%	22.81%	 0.00%	24.65%	25.49%	27.03%	22.82%	 0.00%
18   	24.62%	25.54%	26.94%	22.90%	 0.00%	24.62%	25.56%	26.96%	22.86%	 0.00%
19   	24.57%	25.27%	27.56%	22.60%	 0.00%	24.57%	25.24%	27.57%	22.61%	 0.00%
20   	24.75%	25.08%	27.46%	22.71%	 0.00%	24.77%	25.10%	27.46%	22.67%	 0.00%
21   	24.54%	25.29%	27.07%	23.09%	 0.00%	24.54%	25.31%	27.09%	23.06%	 0.00%
22   	24.78%	25.14%	27.24%	22.84%	 0.01%	24.75%	25.14%	27.26%	22.85%	 0.01%
23   	24.89%	24.98%	27.50%	22.63%	 0.00%	24.89%	25.00%	27.46%	22.65%	 0.00%
24   	24.90%	25.00%	27.37%	22.73%	 0.00%	24.89%	25.02%	27.34%	22.75%	 0.00%
25   	24.62%	25.35%	27.40%	22.62%	 0.00%	24.59%	25.37%	27.42%	22.62%	 0.00%
26   	24.83%	24.99%	27.28%	22.89%	 0.01%	24.80%	25.01%	27.28%	22.90%	 0.01%
27   	24.66%	25.24%	27.38%	22.71%	 0.01%	24.68%	25.26%	27.35%	22.71%	 0.01%
28   	24.72%	24.97%	27.88%	22.42%	 0.01%	24.70%	24.97%	27.89%	22.44%	 0.01%
29   	24.61%	24.97%	27.85%	22.56%	 0.01%	24.61%	24.93%	27.87%	22.58%	 0.01%
30   	24.73%	25.12%	27.72%	22.41%	 0.01%	24.70%	25.14%	27.74%	22.41%	 0.01%
31   	24.57%	25.02%	27.64%	22.77%	 0.01%	24.52%	25.03%	27.66%	22.78%	 0.01%
32   	24.68%	25.23%	27.32%	22.76%	 0.01%	24.67%	25.25%	27.34%	22.73%	 0.01%
33   	24.64%	25.32%	27.37%	22.66%	 0.01%	24.64%	25.34%	27.34%	22.67%	 0.01%
34   	24.59%	25.20%	27.62%	22.57%	 0.01%	24.61%	25.22%	27.64%	22.53%	 0.01%
35   	24.75%	25.19%	27.43%	22.61%	 0.01%	24.77%	25.14%	27.45%	22.62%	 0.01%
36   	24.69%	25.10%	27.73%	22.46%	 0.02%	24.64%	25.12%	27.75%	22.47%	 0.02%
37   	24.46%	25.07%	27.60%	22.85%	 0.01%	24.45%	25.09%	27.62%	22.82%	 0.01%
38   	24.53%	24.93%	27.69%	22.82%	 0.02%	24.50%	24.93%	27.71%	22.83%	 0.02%
39   	24.63%	25.00%	27.51%	22.84%	 0.02%	24.60%	25.01%	27.53%	22.84%	 0.02%
40   	24.34%	24.98%	27.89%	22.77%	 0.02%	24.31%	24.98%	27.91%	22.78%	 0.02%
41   	24.64%	24.84%	27.77%	22.73%	 0.02%	24.65%	24.83%	27.79%	22.70%	 0.02%
42   	24.53%	24.99%	27.58%	22.89%	 0.02%	24.54%	24.95%	27.60%	22.88%	 0.02%
43   	24.55%	24.86%	27.74%	22.83%	 0.02%	24.52%	24.87%	27.76%	22.83%	 0.02%
44   	24.53%	24.75%	27.83%	22.87%	 0.02%	24.49%	24.77%	27.84%	22.88%	 0.02%
45   	24.37%	24.80%	27.79%	23.01%	 0.03%	24.39%	24.77%	27.79%	23.03%	 0.03%
46   	24.46%	24.79%	27.68%	23.04%	 0.03%	24.47%	24.79%	27.70%	23.01%	 0.03%
47   	24.42%	24.82%	27.55%	23.18%	 0.03%	24.44%	24.79%	27.57%	23.18%	 0.03%
48   	24.21%	24.79%	27.62%	23.35%	 0.03%	24.23%	24.75%	27.64%	23.36%	 0.03%
49   	24.29%	24.80%	27.79%	23.08%	 0.03%	24.30%	24.81%	27.81%	23.05%	 0.03%
50   	24.25%	25.08%	27.78%	22.86%	 0.03%	24.26%	25.09%	27.79%	22.82%	 0.03%
