Pos   	     A	     C	     G	     T     N	Clean A	Clean C	Clean G	Clean T	Clean N
1    	13.69%	34.53%	40.31%	11.46%	 0.01%	13.65%	34.55%	40.33%	11.47%	 0.01%
2    	19.82%	20.01%	27.60%	32.57%	 0.00%	19.83%	20.01%	27.57%	32.59%	 0.00%
3    	22.76%	28.28%	27.14%	21.66%	 0.15%	22.77%	28.29%	27.16%	21.63%	 0.15%
4    	31.54%	20.40%	27.84%	20.22%	 0.00%	31.55%	20.37%	27.85%	20.22%	 0.00%
5    	31.69%	18.14%	27.24%	22.93%	 0.00%	31.70%	18.15%	27.21%	22.94%	 0.00%
6    	34.14%	18.69%	23.71%	23.45%	 0.00%	34.15%	18.70%	23.68%	23.46%	 0.00%
7    	19.04%	21.88%	20.47%	38.59%	 0.02%	19.00%	21.89%	20.48%	38.61%	 0.02%
8    	24.12%	25.33%	22.65%	27.90%	 0.00%	24.13%	25.34%	22.61%	27.91%	 0.00%
9    	24.10%	24.30%	23.18%	28.37%	 0.06%	24.10%	24.31%	23.15%	28.38%	 0.06%
10   	37.80%	17.51%	22.91%	21.76%	 0.01%	37.82%	17.48%	22.92%	21.77%	 0.01%
11   	28.80%	24.23%	28.06%	18.90%	 0.01%	28.81%	24.20%	28.07%	18.91%	 0.01%
12   	25.32%	24.04%	24.77%	25.87%	 0.00%	25.29%	24.05%	24.78%	25.88%	 0.00%
13   	27.87%	21.17%	22.71%	27.55%	 0.69%	27.85%	21.18%	22.72%	27.57%	 0.69%
14   	28.57%	21.54%	23.26%	26.63%	 0.00%	28.58%	21.55%	23.23%	26.64%	 0.00%
15   	28.16%	22.20%	23.73%	25.92%	 0.00%	28.17%	22.17%	23.74%	25.93%	 0.00%
16   	28.24%	22.05%	24.10%	25.61%	 0.00%	28.25%	22.06%	24.07%	25.62%	 0.00%
17   	28.52%	22.31%	24.16%	25.01%	 0.00%	28.53%	22.32%	24.12%	25.02%	 0.00%
18   	28.62%	22.23%	24.09%	25.06%	 0.00%	28.63%	22.23%	24.10%	25.03%	 0.00%
19   	28.46%	22.29%	24.37%	24.88%	 0.00%	28.47%	22.26%	24.38%	24.89%	 0.00%
20   	28.32%	22.04%	24.12%	24.91%	 0.62%	28.33%	22.05%	24.13%	24.88%	 0.62%
21   	28.36%	22.37%	24.02%	25.25%	 0.00%	28.37%	22.38%	24.03%	25.23%	 0.00%
22   	28.55%	22.28%	24.18%	24.93%	 0.05%	28.53%	22.29%	24.19%	24.94%	 0.05%
23   	28.66%	22.11%	24.34%	24.88%	 0.01%	28.67%	22.12%	24.31%	24.89%	 0.01%
24   	28.78%	22.21%	24.07%	24.94%	 0.00%	28.79%	22.22%	24.04%	24.95%	 0.00%
25   	28.50%	22.38%	24.23%	24.89%	 0.00%	28.47%	22.39%	24.23%	24.90%	 0.00%
26   	28.66%	22.25%	24.09%	24.99%	 0.00%	28.64%	22.26%	24.10%	25.00%	 0.00%
27   	28.54%	22.45%	24.12%	24.88%	 0.00%	28.55%	22.46%	24.09%	24.89%	 0.00%
28   	28.57%	22.27%	24.42%	24.75%	 0.00%	28.54%	22.27%	24.42%	24.76%	 0.00%
29   	28.39%	22.28%	24.66%	24.67%	 0.00%	28.40%	22.25%	24.67%	24.68%	 0.00%
30   	28.49%	22.49%	24.41%	24.47%	 0.14%	28.46%	22.50%	24.42%	24.49%	 0.14%
31   	28.34%	22.50%	24.45%	24.70%	 0.00%	28.32%	22.51%	24.46%	24.71%	 0.00%
32   	28.41%	22.59%	24.36%	24.62%	 0.03%	28.42%	22.60%	24.33%	24.63%	 0.03%
33   	28.57%	22.53%	24.19%	24.71%	 0.00%	28.55%	22.54%	24.20%	24.72%	 0.00%
34   	28.47%	22.48%	24.50%	24.55%	 0.00%	28.48%	22.45%	24.51%	24.56%	 0.00%
35   	28.63%	22.35%	24.44%	24.58%	 0.00%	28.64%	22.32%	24.45%	24.59%	 0.00%
36   	28.59%	22.34%	24.51%	24.56%	 0.00%	28.60%	22.35%	24.52%	24.54%	 0.00%
37   	28.28%	22.38%	24.40%	24.77%	 0.17%	28.29%	22.39%	24.38%	24.78%	 0.17%
38   	28.34%	22.27%	24.60%	24.79%	 0.00%	28.31%	22.27%	24.61%	24.80%	 0.00%
39   	28.50%	22.31%	24.27%	24.92%	 0.00%	28.51%	22.32%	24.28%	24.89%	 0.00%
40   	28.23%	22.46%	24.63%	24.69%	 0.00%	28.20%	22.46%	24.64%	24.70%	 0.00%
41   	28.47%	22.31%	24.60%	24.62%	 0.00%	28.44%	22.32%	24.61%	24.63%	 0.00%
42   	28.32%	22.52%	24.36%	24.59%	 0.21%	28.33%	22.49%	24.37%	24.60%	 0.21%
43   	28.36%	22.40%	24.45%	24.36%	 0.43%	28.33%	22.41%	24.46%	24.37%	 0.43%
44   	28.43%	22.38%	24.48%	24.71%	 0.00%	28.40%	22.38%	24.49%	24.72%	 0.00%
45   	28.32%	22.35%	24.50%	24.84%	 0.00%	28.33%	22.32%	24.51%	24.84%	 0.00%
46   	28.40%	22.32%	24.46%	24.82%	 0.00%	28.41%	22.32%	24.47%	24.79%	 0.00%
47   	28.42%	22.35%	24.28%	24.95%	 0.02%	28.43%	22.32%	24.29%	24.95%	 0.01%
48   	28.16%	22.31%	24.36%	25.01%	 0.15%	28.17%	22.29%	24.37%	25.02%	 0.15%
49   	28.34%	22.37%	24.49%	24.79%	 0.01%	28.35%	22.37%	24.50%	24.76%	 0.01%
50   	28.21%	22.45%	24.42%	24.92%	 0.00%	28.22%	22.46%	24.42%	24.90%	 0.00%
