Item                                    	Counts(fq1)	Percentage
Total filtered reads (%)                	26398 	100.00%
Reads with adapter (%)                  	26183 	 99.19%
Reads with low quality (%)               	0     	  0.00%
Reads with low mean quality (%)         	0     	  0.00%
Reads with duplications (%)             	0     	  0.00%
Read with n rate exceed: (%)            	215   	  0.81%
Read with small insert size: (%)        	0     	  0.00%
Reads with PolyA (%)                    	0     	  0.00%
